title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
Senior Business Analyst,Southwark Council,London,54360.0,61686.0,09/04/2026,"Why Southwark? Southwark Council is delivering a major programme of change to improve outcomes for residents while ensuring services remain financially sustainable. The Change team within Strategy &amp; Communities leads a cross-council portfolio of transformation work focused on improving services, redesigning processes and delivering savings. The team combines programme management, delivery management, service design, business analysis and PMO... ",,
New Built Analyst,e.surv Chartered Surveyors,NN156PP,,,10/04/2026,"Trading since 1989, we're the UK's largest provider of property risk expertise and residential surveying services. To put it into numbers, we complete more than one property inspection every 12 seconds and employ over 600 surveyors from Land’s End to John O’Groats. This gives us the flexibility to offer nationwide coverage combined with invaluable local knowledge. We're part of the LSL Property Services PLC Group, which includes household names ... ",,
Senior Business Analyst,Sopra Steria,HP27AH,40000.0,52000.0,18/03/2026,"Join us as a Senior Business Analyst on a 12-month fixed-term contract, where you’ll work on high-complexity, business-critical projects that shape how our clients operate. You’ll be part of a collaborative, expert Business Analysis community known for its supportive culture, shared knowledge, and commitment to best practice. We can offer great career progression opportunities, the ability to be based anywhere across the UK, benefits which you c... ",,
"Trainee Data Analyst (Excel, SQL & Power BI)",Netcom Online Learning,Sheffield,25000.0,35000.0,10/04/2026,"About the opportunity Are you ready to launch a career in Data Analytics and Business Intelligence ? Netcom Training’s fully-funded Data course (NCFE Certificate in Data, Level 2) equips you with the technical skills employers are actively seeking. From data sourcing, cleansing, and analysis to visualization and reporting, you’ll gain hands-on experience that prepares you for today’s fast-growing data-driven roles. Our learners have successfully... ",,
Business and Reporting Analyst,Computershare flexible Talent,Edinburgh,,,16/04/2026,"Computershare is global leader in financial administration with over 12,000 employees across more than 22 different countries. Many of the world's leading organisations use us to streamline and maximise the value of relationships with their investors, employees, creditors and customers. Our global footprint means we have the scale to maintain robust compliance, audit, risk, financial crime, disaster recovery and business continuity planning prog... ",,
Trainee Cyber Security Analyst,Netcom Online Learning,Sheffield,25000.0,32000.0,10/04/2026,"About the opportunity Complete the free training, gain a qualification and career guidance - no brainer! Are you ready to launch a career in cyber security? Netcom Training’s fully-funded Cyber Security course (NCFE Certificate in Cyber Security Practices, Level 2) equips you with the practical skills employers are actively seeking. From threat intelligence and security testing to incident response and ethical compliance, you’ll gain hands-on ex... ",,
Senior Pensions Project Analyst, Isio,B46AJ,,,10/04/2026,"Senior Pensions Project Analyst We are seeking a Senior pensions project administrator/analyst to work in our specialist Administration Project Team. You will be responsible for the delivery and technical aspects of administration projects. The types of projects you may be asked to work on will include, but is not limited to, the following: GMP Equalisation projects; benefit analysis and rectification work; Pensions Dashboard projects; Scheme tr... ",,
Trainee Cyber Security Analyst,Netcom Online Learning,Manchester,22000.0,24000.0,14/04/2026,"About the opportunity Are you ready to launch a career in cyber security? Netcom Training’s fully-funded Cyber Security course (NCFE Certificate in Cyber Security Practices, Level 3) equips you with the practical skills employers in Greater Manchester are actively seeking. From threat intelligence and security testing to incident response and ethical compliance, you’ll gain hands-on experience that prepares you for today’s fast-growing cyber sec... ",,
Principal & Senior Consultant(s) - Technical Business Analyst (Data),Intuita,Newbury,60000.0,90000.0,20/03/2026,"All our office locations considered: Newbury, London (satellite) &amp; Liverpool; OR Croatia (Šibenik) The Team We're Intuita - a fast growing consultancy that's making waves in both the consultancy and technology space! Now as part of the wider FSP Consulting group, we continue with our ambitious growth plans for this year and beyond; we are looking for talented individuals to complement the team of experts we already have working across our bu... ",,
Governance and Risk Analyst,AD Warrior,Manchester,32085.0,32085.0,09/04/2026,"Governance and Risk Analyst Location: Home based with regular travel to our Manchester Office. Salary : 32,085 per annum Why this role matters You will be supporting the maintenance of effective governance, procurement and risk management frameworks across the business. About you We’re looking for someone with: Demonstrable knowledge and experience of: Corporate governance in a regulated sector Operational risk management Data Protection Busines... ",,
